Resonance_Code,Values_Orientation,Authenticity_Expression,Flourishing_Time_Horizon,Original_Three_Word_Name,New_Unique_Adjective
I(1-3)-R(4-5)-L(6),Implicit,Relational,Long-Arc,Subtle Warm Enduring,Humble
I(1-3)-R(6-9)-L(1),Implicit,Relational,Long-Arc,Subtle Intimate Patient,Understated
I(1-3)-R(6-9)-L(4),Implicit,Relational,Long-Arc,Subtle Intimate Seasoned,Discreet
I(1-3)-R(6-9)-L(6),Implicit,Relational,Long-Arc,Subtle Intimate Enduring,Reserved
I(4-5)-R(1-3)-L(1),Implicit,Relational,Long-Arc,Embodied Soft Patient,Grounded
I(4-5)-R(1-3)-L(4),Implicit,Relational,Long-Arc,Embodied Soft Seasoned,Earthy
I(4-5)-R(1-3)-L(6),Implicit,Relational,Long-Arc,Embodied Soft Enduring,Substantial
I(4-5)-R(4-5)-L(1),Implicit,Relational,Long-Arc,Embodied Warm Patient,Heartfelt
I(4-5)-R(4-5)-L(4),Implicit,Relational,Long-Arc,Embodied Warm Seasoned,Genuine
I(4-5)-R(4-5)-L(6),Implicit,Relational,Long-Arc,Embodied Warm Enduring,Sincere
I(4-5)-R(6-9)-L(1),Implicit,Relational,Long-Arc,Embodied Intimate Patient,Authentic
I(4-5)-R(6-9)-L(4),Implicit,Relational,Long-Arc,Embodied Intimate Seasoned,Lived
I(4-5)-R(6-9)-L(6),Implicit,Relational,Long-Arc,Embodied Intimate Enduring,Unpretentious
I(6-9)-R(1-3)-L(1),Implicit,Relational,Long-Arc,Veiled Soft Patient,Mysterious
I(6-9)-R(1-3)-L(4),Implicit,Relational,Long-Arc,Veiled Soft Seasoned,Enigmatic
I(6-9)-R(1-3)-L(6),Implicit,Relational,Long-Arc,Veiled Soft Enduring,Cryptic
I(6-9)-R(4-5)-L(1),Implicit,Relational,Long-Arc,Veiled Warm Patient,Alluring
I(6-9)-R(4-5)-L(4),Implicit,Relational,Long-Arc,Veiled Warm Seasoned,Magnetic
I(6-9)-R(4-5)-L(6),Implicit,Relational,Long-Arc,Veiled Warm Enduring,Captivating
I(6-9)-R(6-9)-L(1),Implicit,Relational,Long-Arc,Veiled Intimate Patient,Esoteric
I(6-9)-R(6-9)-L(4),Implicit,Relational,Long-Arc,Veiled Intimate Seasoned,Profound
I(6-9)-R(6-9)-L(6),Implicit,Relational,Long-Arc,Veiled Intimate Enduring,Inscrutable
I(1-3)-R(1-3)-C(1),Implicit,Relational,Catalytic,Subtle Soft Quick,Flitting
I(1-3)-R(1-3)-C(4),Implicit,Relational,Catalytic,Subtle Soft Kinetic,Elusive
I(1-3)-R(1-3)-C(6),Implicit,Relational,Catalytic,Subtle Soft Igniting,Ethereal
I(1-3)-R(4-5)-C(1),Implicit,Relational,Catalytic,Subtle Warm Quick,Nimble
I(1-3)-R(4-5)-C(4),Implicit,Relational,Catalytic,Subtle Warm Kinetic,Fluid
I(1-3)-R(4-5)-C(6),Implicit,Relational,Catalytic,Subtle Warm Igniting,Animated
I(1-3)-R(6-9)-C(1),Implicit,Relational,Catalytic,Subtle Intimate Quick,Whispered
I(1-3)-R(6-9)-C(4),Implicit,Relational,Catalytic,Subtle Intimate Kinetic,Expressive
I(1-3)-R(6-9)-C(6),Implicit,Relational,Catalytic,Subtle Intimate Igniting,Intense
I(4-5)-R(1-3)-C(1),Implicit,Relational,Catalytic,Embodied Soft Quick,Tactile
I(4-5)-R(1-3)-C(4),Implicit,Relational,Catalytic,Embodied Soft Kinetic,Pliant
I(4-5)-R(1-3)-C(6),Implicit,Relational,Catalytic,Embodied Soft Igniting,Tangible
I(4-5)-R(4-5)-C(1),Implicit,Relational,Catalytic,Embodied Warm Quick,Pragmatic
I(4-5)-R(4-5)-C(4),Implicit,Relational,Catalytic,Embodied Warm Kinetic,Vibrant
I(4-5)-R(4-5)-C(6),Implicit,Relational,Catalytic,Embodied Warm Igniting,Effervescent
I(4-5)-R(6-9)-C(1),Implicit,Relational,Catalytic,Embodied Intimate Quick,Visceral
I(4-5)-R(6-9)-C(4),Implicit,Relational,Catalytic,Embodied Intimate Kinetic,Dynamic
I(4-5)-R(6-9)-C(6),Implicit,Relational,Catalytic,Embodied Intimate Igniting,Impassioned
I(6-9)-R(1-3)-C(1),Implicit,Relational,Catalytic,Veiled Soft Quick,Fleeting
I(6-9)-R(1-3)-C(4),Implicit,Relational,Catalytic,Veiled Soft Kinetic,Mercurial
I(6-9)-R(1-3)-C(6),Implicit,Relational,Catalytic,Veiled Soft Igniting,Electric
I(6-9)-R(4-5)-C(1),Implicit,Relational,Catalytic,Veiled Warm Quick,Intriguing
I(6-9)-R(4-5)-C(4),Implicit,Relational,Catalytic,Veiled Warm Kinetic,Charismatic
I(6-9)-R(4-5)-C(6),Implicit,Relational,Catalytic,Veiled Warm Igniting,Mesmerizing
I(6-9)-R(6-9)-C(1),Implicit,Relational,Catalytic,Veiled Intimate Quick,Piercing
I(6-9)-R(6-9)-C(4),Implicit,Relational,Catalytic,Veiled Intimate Kinetic,Compelling
I(6-9)-R(6-9)-C(6),Implicit,Relational,Catalytic,Veiled Intimate Igniting,Hypnotic
I(1-3)-S(1-3)-L(1),Implicit,Structural,Long-Arc,Subtle Clear Patient,Unobtrusive
I(1-3)-S(1-3)-L(4),Implicit,Structural,Long-Arc,Subtle Clear Seasoned,Quietly
I(1-3)-S(1-3)-L(6),Implicit,Structural,Long-Arc,Subtle Clear Enduring,Implicit
I(1-3)-S(4-5)-L(1),Implicit,Structural,Long-Arc,Subtle Ordered Patient,Orderly
I(1-3)-S(4-5)-L(4),Implicit,Structural,Long-Arc,Subtle Ordered Seasoned,Methodical
I(1-3)-S(4-5)-L(6),Implicit,Structural,Long-Arc,Subtle Ordered Enduring,Systematic
I(1-3)-S(6-9)-L(1),Implicit,Structural,Long-Arc,Subtle Architected Patient,Strategic
I(1-3)-S(6-9)-L(4),Implicit,Structural,Long-Arc,Subtle Architected Seasoned,Pragmatic
I(1-3)-S(6-9)-L(6),Implicit,Structural,Long-Arc,Subtle Architected Enduring,Structural
I(4-5)-S(1-3)-L(1),Implicit,Structural,Long-Arc,Embodied Clear Patient,Functional
I(4-5)-S(1-3)-L(4),Implicit,Structural,Long-Arc,Embodied Clear Seasoned,Utilitarian
I(4-5)-S(1-3)-L(6),Implicit,Structural,Long-Arc,Embodied Clear Enduring,Practical
I(4-5)-S(4-5)-L(1),Implicit,Structural,Long-Arc,Embodied Ordered Patient,Disciplined
I(4-5)-S(4-5)-L(4),Implicit,Structural,Long-Arc,Embodied Ordered Seasoned,Consistent
I(4-5)-S(4-5)-L(6),Implicit,Structural,Long-Arc,Embodied Ordered Enduring,Rigorous
I(4-5)-S(6-9)-L(1),Implicit,Structural,Long-Arc,Embodied Architected Patient,Operational
I(4-5)-S(6-9)-L(4),Implicit,Structural,Long-Arc,Embodied Architected Seasoned,Architectural
I(4-5)-S(6-9)-L(6),Implicit,Structural,Long-Arc,Embodied Architected Enduring,Foundational
I(6-9)-S(1-3)-L(1),Implicit,Structural,Long-Arc,Veiled Clear Patient,Arcane
I(6-9)-S(1-3)-L(4),Implicit,Structural,Long-Arc,Veiled Clear Seasoned,Hermetic
I(6-9)-S(1-3)-L(6),Implicit,Structural,Long-Arc,Veiled Clear Enduring,Opaque
I(6-9)-S(4-5)-L(1),Implicit,Structural,Long-Arc,Veiled Ordered Patient,Cryptic
I(6-9)-S(4-5)-L(4),Implicit,Structural,Long-Arc,Veiled Ordered Seasoned,Bureaucratic
I(6-9)-S(4-5)-L(6),Implicit,Structural,Long-Arc,Veiled Ordered Enduring,Inscrutable
I(6-9)-S(6-9)-L(1),Implicit,Structural,Long-Arc,Veiled Architected Patient,Complex
I(6-9)-S(6-9)-L(4),Implicit,Structural,Long-Arc,Veiled Architected Seasoned,Esoteric
I(6-9)-S(6-9)-L(6),Implicit,Structural,Long-Arc,Veiled Architected Enduring,Monolithic
I(1-3)-S(1-3)-C(1),Implicit,Structural,Catalytic,Subtle Clear Quick,Direct
I(1-3)-S(1-3)-C(4),Implicit,Structural,Catalytic,Subtle Clear Kinetic,Agile
I(1-3)-S(1-3)-C(6),Implicit,Structural,Catalytic,Subtle Clear Igniting,Pithy
I(1-3)-S(4-5)-C(1),Implicit,Structural,Catalytic,Subtle Ordered Quick,Efficient
I(1-3)-S(4-5)-C(4),Implicit,Structural,Catalytic,Subtle Ordered Kinetic,Streamlined
I(1-3)-S(4-5)-C(6),Implicit,Structural,Catalytic,Subtle Ordered Igniting,Prompt
I(1-3)-S(6-9)-C(1),Implicit,Structural,Catalytic,Subtle Architected Quick,Tactical
I(1-3)-S(6-9)-C(4),Implicit,Structural,Catalytic,Subtle Architected Kinetic,Optimal
I(1-3)-S(6-9)-C(6),Implicit,Structural,Catalytic,Subtle Architected Igniting,Pioneering
I(4-5)-S(1-3)-C(1),Implicit,Structural,Catalytic,Embodied Clear Quick,Pragmatic
I(4-5)-S(1-3)-C(4),Implicit,Structural,Catalytic,Embodied Clear Kinetic,Effective
I(4-5)-S(1-3)-C(6),Implicit,Structural,Catalytic,Embodied Clear Igniting,Incisive
I(4-5)-S(4-5)-C(1),Implicit,Structural,Catalytic,Embodied Ordered Quick,Businesslike
I(4-5)-S(4-5)-C(4),Implicit,Structural,Catalytic,Embodied Ordered Kinetic,Systemic
I(4-5)-S(4-5)-C(6),Implicit,Structural,Catalytic,Embodied Ordered Igniting,Dynamic
I(4-5)-S(6-9)-C(1),Implicit,Structural,Catalytic,Embodied Architected Quick,Calculated
I(4-5)-S(6-9)-C(4),Implicit,Structural,Catalytic,Embodied Architected Kinetic,Methodical
I(4-5)-S(6-9)-C(6),Implicit,Structural,Catalytic,Embodied Architected Igniting,Disruptive
I(6-9)-S(1-3)-C(1),Implicit,Structural,Catalytic,Veiled Clear Quick,Swift
I(6-9)-S(1-3)-C(4),Implicit,Structural,Catalytic,Veiled Clear Kinetic,Fleeting
I(6-9)-S(1-3)-C(6),Implicit,Structural,Catalytic,Veiled Clear Igniting,Piercing
I(6-9)-S(4-5)-C(1),Implicit,Structural,Catalytic,Veiled Ordered Quick,Decisive
I(6-9)-S(4-5)-C(4),Implicit,Structural,Catalytic,Veiled Ordered Kinetic,Compelling
I(6-9)-S(4-5)-C(6),Implicit,Structural,Catalytic,Veiled Ordered Igniting,Formidable
I(6-9)-S(6-9)-C(1),Implicit,Structural,Catalytic,Veiled Architected Quick,Provocative
I(6-9)-S(6-9)-C(4),Implicit,Structural,Catalytic,Veiled Architected Kinetic,Radical
I(6-9)-S(6-9)-C(6),Implicit,Structural,Catalytic,Veiled Architected Igniting,Revolutionary
